Year,City,Team,ID,Games Played,Win %,Points,Points Per Game,Points Against Per Game,Point Differential,Hex Color Primary,Hex Color Secondary,Team and Year,Playoff Win %,Playoff Point Differential
2019-20,Los Angeles,Lakers,1610612747,71,73.2,8054,113.44,107.6,5.84,#552583,#f9a01b,2019-20 Lakers,76.2,6.8
2018-19,Toronto,Raptors,1610612761,82,70.7,9384,114.44,108.4,6.04,#ce1141,#a1a1a4,2018-19 Raptors,66.7,5.5
2017-18,Golden State,Warriors,1610612744,82,70.7,9304,113.46,107.5,5.96,#1d428a,#ffc72c,2017-18 Warriors,76.2,10.0
2016-17,Golden State,Warriors,1610612744,82,81.69999999999999,9503,115.89,104.3,11.59,#1d428a,#ffc72c,2016-17 Warriors,94.1,13.5
2015-16,Cleveland,Cavaliers,1610612739,82,69.5,8555,104.33,98.3,6.03,#860038,#041e42,2015-16 Cavaliers,76.2,8.7
2014-15,Golden State,Warriors,1610612744,82,81.69999999999999,9016,109.95,99.9,10.05,#1d428a,#ffc72c,2014-15 Warriors,76.2,7.8
2013-14,San Antonio,Spurs,1610612759,82,75.6,8639,105.35,97.6,7.75,#c4ced4,#000000,2013-14 Spurs,69.6,9.3
2012-13,Miami,Heat,1610612748,82,80.5,8436,102.88,95.0,7.88,#98002e,#f9a01b,2012-13 Heat,69.6,6.4
2011-12,Miami,Heat,1610612748,66,69.69999999999999,6500,98.48,92.5,5.98,#98002e,#f9a01b,2011-12 Heat,69.6,7.0
2010-11,Dallas,Mavericks,1610612742,82,69.5,8220,100.24,96.0,4.24,#00538c,#b8c4ca,2010-11 Mavericks,76.2,5.7
2009-10,Los Angeles,Lakers,1610612747,82,69.5,8339,101.7,97.0,4.7,#552583,#f9a01b,2009-10 Lakers,69.6,3.8
2008-09,Los Angeles,Lakers,1610612747,82,79.3,8768,106.93,99.3,7.63,#552583,#f9a01b,2008-09 Lakers,69.6,7.2
2007-08,Boston,Celtics,1610612738,82,80.5,8245,100.55,90.3,10.25,#007a33,#ba9653,2007-08 Celtics,61.5,5.2
2006-07,San Antonio,Spurs,1610612759,82,70.7,8079,98.52,90.1,8.42,#c4ced4,#000000,2006-07 Spurs,80.0,4.0
2005-06,Miami,Heat,1610612748,82,63.4,8191,99.89,96.0,3.89,#98002e,#f9a01b,2005-06 Heat,69.6,3.8
2004-05,San Antonio,Spurs,1610612759,82,72.0,7888,96.2,88.4,7.8,#c4ced4,#000000,2004-05 Spurs,69.6,4.3
2003-04,Detroit,Pistons,1610612765,82,65.9,7388,90.1,84.3,5.8,#c8102e,#1d42ba,2003-04 Pistons,69.6,6.4
2002-03,San Antonio,Spurs,1610612759,82,73.2,7856,95.8,90.4,5.4,#c4ced4,#000000,2002-03 Spurs,66.7,5.5
2001-02,Los Angeles,Lakers,1610612747,82,70.7,8304,101.27,94.1,7.17,#552583,#f9a01b,2001-02 Lakers,78.9,3.7
2000-01,Los Angeles,Lakers,1610612747,82,68.30000000000001,8251,100.62,97.2,3.42,#552583,#f9a01b,2000-01 Lakers,93.8,12.8
1999-00,Los Angeles,Lakers,1610612747,82,81.69999999999999,8267,100.82,92.3,8.52,#552583,#f9a01b,1999-00 Lakers,65.2,2.4
